127.0.0.1 - - [19/Dec/2020:00:28:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:47 +0900] "GET /BBS/ HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:47 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:50 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:50 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:53 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:53 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:54 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:28:54 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:00:37:39 +0900] "GET /BBS/write.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [19/Dec/2020:04:35:16 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Dec/2020:04:35:16 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:04:35:31 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:51:49 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:51:49 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:51:59 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:53:15 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:53:15 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:53:19 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:53:25 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:53:25 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:17 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:17 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:20 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:22 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:22 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:26 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:26 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:27 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:27 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:29 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:29 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:32 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:32 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:44 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [19/Dec/2020:05:55:44 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
