127.0.0.1 - - [21/Dec/2020:02:55:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:45 +0900] "GET /BBS/ HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:45 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:48 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:48 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:49 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:49 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:51 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:51 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:54 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:54 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:56 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:56 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:57 +0900] "GET /BBS/update.jsp?bbsID=12 HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:55:57 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:56:23 +0900] "GET /BBS/update.jsp?bbsID=12 HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:56:23 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:56:31 +0900] "POST /BBS/updateAction.jsp?bbsID=12 HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:56:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [21/Dec/2020:02:56:43 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:26 +0900] "GET /BBS/ HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:26 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:29 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:37 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:37 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:39 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:39 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:39 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:40 +0900] "GET /BBS/view.jsp?bbsID=14 HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:40 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:42 +0900] "GET /BBS/update.jsp?bbsID=14 HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:42 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2020:03:08:48 +0900] "POST /BBS/updateAction.jsp?bbsID=14 HTTP/1.1" 200 258
